Name,Mover Score,Pub Rank,All time high pub rank,All time low pub rank
package name,Calculated score based on all the other metrics,current rank,highest ever package rank,lowest ever package rank
circle_nav_bar,788,698,567,2030
aura_box,475,2829,1555,2829
workmanager,721,700,700,1086
split_view,700,701,533,744
flutter_cors,697,702,540,702
sqlparser,858,703,554,2266
web_socket,778,704,566,1481
tar,798,705,528,1564
card_swiper,706,706,81,1098
msix,735,707,314,1243
flex_color_scheme,887,708,111,2287
country_code_picker,724,709,84,1092
scoped_model,730,710,710,1100
timeline_tile,730,711,711,1100
qr,780,712,712,1582
sizer,800,713,713,2241
flutter_flavorizr,840,714,714,2728
system_theme,691,715,463,715
liquid_pull_to_refresh,721,716,716,1107
reactive_forms,733,717,717,1104
dio_cache_interceptor,720,718,718,1111
jni,919,719,578,2815
google_mlkit_translation,720,720,539,861
stream_chat_localizations,467,2823,2461,2951
mobkit_dashed_border,687,722,574,800
flutter_chat_ui,713,723,109,1108
video_thumbnail,734,724,724,1114
google_polyline_algorithm,701,725,522,781
awesome_notifications,837,726,67,2747
native_dio_adapter,776,727,546,1938
objectbox,728,728,728,1118
webcrypto,863,729,597,2268
dashed_circle,458,2821,2439,2990
flutter_timezone,693,731,147,1116
format,784,732,573,1954
bad_words,506,2817,1881,2955
rainbow_color,432,2815,2423,2815
siri_wave,699,735,508,735
http_client_helper,746,736,548,1197
syncfusion_flutter_core,831,737,737,2661
beamer,733,738,738,1213
wolt_modal_sheet,710,739,230,1143
flutter_email_sender,717,740,740,1126
flutter_sharing_intent,693,741,538,741
flutter_parsed_text,760,742,742,1394
dart_frog_web_socket,461,2813,2415,2988
source_gen,848,744,744,2673
auto_size_text_field,719,745,745,1151
scroll_loop_auto_scroll,685,746,513,746
flutter_video_info,677,747,509,747
awesome_dio_interceptor,674,748,543,748
styled_text,711,749,749,1140
flame,806,750,138,2653
slide_action,685,751,514,751
safe_device,725,752,752,1222
marquee,844,753,753,2252
animated_login,452,2811,2539,2895
file_saver,721,755,755,1138
flutter_expandable_table,698,756,549,756
currency_textfield,755,757,604,1336
jnigen,905,758,616,2784
reorderables,725,759,759,1139
boolean_selector,690,760,559,760
remove_from_coverage,816,761,556,1898
scrolls_to_top,685,762,566,762
carrier_info,682,763,557,763
objectbox_flutter_libs,671,764,575,764
material_table_view,800,765,575,2091
floating_bottom_bar,479,2809,764,2809
flutter_exit_app,680,767,563,767
contacts_service,717,768,768,1153
google_generative_ai,709,769,769,1151
flutter_polyline_points,715,770,770,1156
idb_shim,714,771,565,903
multi_select_flutter,721,772,772,1154
dynamic_tabbar,701,773,582,791
jailbreak_root_detection,723,774,595,957
widget_zoom,689,775,545,775
dotted_line,697,776,144,1163
flutter_jailbreak_detection,713,777,777,1142
light_compressor,685,778,499,778
qr_code_scanner_plus,901,779,621,2671
file_selector_windows,437,2806,2771,2950
scroll_page_view,474,2803,1314,2803
syncfusion_flutter_signaturepad,832,782,782,2728
connectivity_wrapper,810,783,588,2051
country_picker,701,784,784,1175
input_quantity,754,785,591,1989
flash,716,786,786,1174
feedback,724,787,787,1195
install_plugin,681,788,557,788
barcode_image,686,789,561,789
desktop_notifications,687,790,567,790
dynamic_color,711,791,791,1178
week_of_year,688,792,568,792
fancy_password_field,821,793,600,2016
step_progress_indicator,704,794,794,1180
bluetooth_low_energy,709,795,567,892
dio_smart_retry,703,796,244,1188
ditredi,483,2798,1162,2863
agora_rtc_engine,868,798,798,2726
flutter_custom_tabs,750,799,185,1186
flutter_circular_text,695,800,521,800
slang_flutter,768,801,617,2071
avatar_glow,705,802,117,1196
animated_flip_counter,710,803,803,1193
spotify,673,804,545,804
ulid,706,805,572,974
is_first_run,676,806,547,806
flutter_draggable_gridview,811,807,584,2046
lifecycle,687,808,564,808
graphic,708,809,809,1194
talker_bloc_logger,688,810,623,810
openfoodfacts,774,811,611,2097
macos_ui,855,812,812,2855
fast_immutable_collections,733,813,813,1296
dart_openai,733,814,814,1247
presentation_displays,692,815,562,815
web_smooth_scroll,692,816,583,816
pretty_qr_code,702,817,161,1201
mobx_codegen,752,818,191,1276
haptic_feedback,681,819,518,819
i18n,778,820,617,2010
flutter_map_cancellable_tile_provider,680,821,594,821
logging_appenders,699,822,592,955
retrofit_generator,808,823,309,2766
top_snackbar_flutter,711,824,824,1205
flutter_picker_plus,701,825,601,884
lumberdash,734,826,614,1186
google_mlkit_commons,701,827,626,904
rate_my_app,822,828,828,2757
beautiful_soup_dart,705,829,615,983
flutter_branch_sdk,816,830,257,2740
expansion_tile_group,668,831,562,831
plugin_platform_interface,715,832,832,1218
nfc_manager,716,833,833,1219
scrollable_list_tab_scroller,687,834,634,834
im_stepper,478,2795,1135,2860
slugid,824,836,571,2059
flutter_lazy_indexed_stack,682,837,539,837
odometer,712,838,608,1071
ntp,708,839,839,1231
husky,776,840,620,1623
awesome_dialog,708,841,841,1223
supercharged,707,842,842,1232
camerawesome,704,843,209,1225
fluttertagger,749,844,646,1450
curved_labeled_navigation_bar,680,845,581,845
receive_sharing_intent,713,846,846,1233
animated_svg,696,847,637,959
animated_bottom_navigation_bar,714,848,848,1241
audio_video_progress_bar,702,849,177,1220
resizable_widget,820,850,850,2190
wheel_picker,794,851,626,2299
eventflux,726,852,695,1170
persistent_bottom_nav_bar,706,853,853,1228
translations_cleaner,777,854,602,1652
http_mock_adapter,821,855,855,2770
flutter_foreground_task,698,856,856,1247
flutter_background_geolocation,788,857,857,2501
super_tooltip,847,858,858,2507
pinch_zoom_release_unzoom,762,859,609,2033
flutter_cast_video,450,2791,2529,2824
fake_async,711,861,861,1250
udp,661,862,611,862
image_size_getter,819,863,863,2787
